"mechanism","intent","matrix_version"
"mvt_other","unintentional","Unknown"
"mvt_pedal_cyclist","unintentional","Unknown"
"mvt_pedestrian","unintentional","Unknown"
"mvt_unspecified","unintentional","Unknown"
"natural_environmental","unintentional","Unknown"
"other_land_transport","unintentional","Unknown"
"other_specified","unintentional","Unknown"
"other_transport","unintentional","Unknown"
"overexertion","unintentional","Unknown"
"pedal_cyclist","unintentional","Unknown"
"pedestrian","unintentional","Unknown"
"poisoning","unintentional","Unknown"
"poisoning_drug","unintentional","Unknown"
"poisoning_nondrug","unintentional","Unknown"
"struck_by_against","unintentional","Unknown"
"suffocation","unintentional","Unknown"
"unspecified","unintentional","Unknown"
