"standard","agecat","age_start","age_end","pop","source","uploaded"
"World (WHO 2000-2025) Std Million (single ages to 84)","5 years",5,5,17470,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","5 years",5,5,366757,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","5 years",5,5,3896081,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","6 years",6,6,17414,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","6 years",6,6,361038,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","6 years",6,6,3917855,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","7 years",7,7,17366,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","7 years",7,7,363440,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","7 years",7,7,3978143,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","8 years",8,8,17327,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","8 years",8,8,358621,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","8 years",8,8,3903983,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","9 years",9,9,17293,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","9 years",9,9,360577,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","9 years",9,9,4223778,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","10 years",10,10,17263,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","10 years",10,10,365198,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","10 years",10,10,4230322,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","11 years",11,11,17233,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","11 years",11,11,376458,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","11 years",11,11,4027959,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","12 years",12,12,17199,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","12 years",12,12,379838,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","12 years",12,12,3941299,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","13 years",13,13,17160,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","13 years",13,13,391245,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","13 years",13,13,3923270,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","14 years",14,14,17115,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","14 years",14,14,405425,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","14 years",14,14,3933929,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","15 years",15,15,17069,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","15 years",15,15,426802,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","15 years",15,15,3952423,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","16 years",16,16,17018,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","16 years",16,16,440145,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","16 years",16,16,3853629,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","17 years",17,17,16952,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","17 years",17,17,446524,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","17 years",17,17,4012263,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","18 years",18,18,16866,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","18 years",18,18,455872,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","18 years",18,18,3936904,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","19 years",19,19,16765,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","19 years",19,19,469609,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","19 years",19,19,4064299,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","20 years",20,20,16656,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","20 years",20,20,479650,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","20 years",20,20,4037599,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","21 years",21,21,16546,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","21 years",21,21,484077,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","21 years",21,21,3764802,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","22 years",22,22,16434,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","22 years",22,22,470052,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","22 years",22,22,3555718,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","23 years",23,23,16323,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","23 years",23,23,458775,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","23 years",23,23,3489233,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","24 years",24,24,16212,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","24 years",24,24,461800,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","24 years",24,24,3409873,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","25 years",25,25,16094,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","25 years",25,25,471522,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","25 years",25,25,3421099,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","26 years",26,26,15971,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","26 years",26,26,475052,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","26 years",26,26,3328203,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","27 years",27,27,15851,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","27 years",27,27,474287,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","27 years",27,27,3434987,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","28 years",28,28,15735,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","28 years",28,28,475287,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","28 years",28,28,3450602,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","29 years",29,29,15621,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","29 years",29,29,473693,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","29 years",29,29,4087176,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","30 years",30,30,15504,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","30 years",30,30,479377,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","30 years",30,30,3999004,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","31 years",31,31,15376,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","31 years",31,31,472955,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","31 years",31,31,3810183,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","32 years",32,32,15233,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","32 years",32,32,462922,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","32 years",32,32,3774385,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","33 years",33,33,15070,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","33 years",33,33,455951,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","33 years",33,33,3840938,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","34 years",34,34,14890,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","34 years",34,34,456750,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","34 years",34,34,4086860,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","35 years",35,35,14702,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","35 years",35,35,457914,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","35 years",35,35,4288078,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","36 years",36,36,14510,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","36 years",36,36,458413,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","36 years",36,36,4349620,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","37 years",37,37,14307,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","37 years",37,37,448563,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","37 years",37,37,4469476,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","38 years",38,38,14091,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","38 years",38,38,450150,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","38 years",38,38,4290207,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","39 years",39,39,13865,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","39 years",39,39,458047,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","39 years",39,39,4782575,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","40 years",40,40,13629,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","40 years",40,40,480129,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","40 years",40,40,4666685,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","41 years",41,41,13391,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","41 years",41,41,478010,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","41 years",41,41,4493582,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","42 years",42,42,13163,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","42 years",42,42,475541,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","42 years",42,42,4487560,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","43 years",43,43,12949,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","43 years",43,43,473014,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","43 years",43,43,4424004,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","44 years",44,44,12745,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","44 years",44,44,479224,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","44 years",44,44,4407398,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","45 years",45,45,12538,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","45 years",45,45,506180,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","45 years",45,45,4268017,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","46 years",46,46,12320,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","46 years",46,46,541424,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","46 years",46,46,4033859,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","47 years",47,47,12091,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","47 years",47,47,557834,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","47 years",47,47,3958468,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","48 years",48,48,11845,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","48 years",48,48,562501,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","48 years",48,48,3681489,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","49 years",49,49,11585,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","49 years",49,49,551970,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","49 years",49,49,3863960,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","50 years",50,50,11320,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","50 years",50,50,558958,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","50 years",50,50,3720935,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","51 years",51,51,11048,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","51 years",51,51,548847,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","51 years",51,51,3504329,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","52 years",52,52,10757,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","52 years",52,52,536639,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","52 years",52,52,3475657,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","53 years",53,53,10443,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","53 years",53,53,529913,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","53 years",53,53,3754218,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","54 years",54,54,10113,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","54 years",54,54,516903,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","54 years",54,54,2769220,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","55 years",55,55,9774,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","55 years",55,55,501158,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","55 years",55,55,2749739,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","56 years",56,56,9435,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","56 years",56,56,493948,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","56 years",56,56,2786795,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","57 years",57,57,9095,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","57 years",57,57,473623,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","57 years",57,57,2947472,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","58 years",58,58,8757,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","58 years",58,58,451080,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","58 years",58,58,2404462,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","59 years",59,59,8423,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","59 years",59,59,433281,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","59 years",59,59,2418766,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","60 years",60,60,8087,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","60 years",60,60,424456,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","60 years",60,60,2259141,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","61 years",61,61,7750,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","61 years",61,61,414501,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","61 years",61,61,2179759,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","62 years",62,62,7425,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","62 years",62,62,405624,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","62 years",62,62,2132873,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","63 years",63,63,7113,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","63 years",63,63,404282,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","63 years",63,63,2030730,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","64 years",64,64,6812,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","64 years",64,64,401580,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","64 years",64,64,2051769,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","65 years",65,65,6517,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
