"causeid","cause.of.death","icd10"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A858"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A86"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A87"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A88"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A89"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A90"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A91"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A92"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A93"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A94"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A95"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A96"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A97"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A98"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A99"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B00"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B01"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B02"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B03"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B04"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B06"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B07"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B08"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B09"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B25"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B26"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B27"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B28"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B29"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B30"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B31"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B32"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B33"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B34"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B35"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B36"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B37"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B38"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B39"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B40"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B41"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B42"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B43"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B44"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B45"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B46"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B47"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B48"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B49"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B55"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B56"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B57"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B58"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B59"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B60"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B61"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B62"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B63"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B64"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B65"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B66"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B67"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B68"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B69"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B70"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B71"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B72"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B73"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B74"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B75"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B76"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B77"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B78"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B79"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B80"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B81"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B82"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B83"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B84"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B85"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B86"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B87"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B88"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B89"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B90"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B91"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B92"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B93"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B94"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B95"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B96"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B97"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B98"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B99"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","U071"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C00"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C01"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C02"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C03"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C04"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C05"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C06"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C07"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C08"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C09"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C10"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C11"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C12"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C13"
18,"Malignant neoplasms of lip, oral cavity and pharynx","C14"
19,"Malignant neoplasm of esophagus","C15"
20,"Malignant neoplasm of stomach","C16"
21,"Malignant neoplasms of colon, rectum and anus","C18"
21,"Malignant neoplasms of colon, rectum and anus","C19"
21,"Malignant neoplasms of colon, rectum and anus","C20"
21,"Malignant neoplasms of colon, rectum and anus","C21"
22,"Malignant neoplasms of liver and intrahepatic bile ducts","C22"
23,"Malignant neoplasm of pancreas","C25"
24,"Malignant neoplasm of larynx","C32"
25,"Malignant neoplasms of trachea, bronchus and lung","C33"
25,"Malignant neoplasms of trachea, bronchus and lung","C34"
26,"Malignant melanoma of skin","C43"
27,"Malignant neoplasm of breast","C50"
28,"Malignant neoplasm of cervix uteri","C53"
29,"Malignant neoplasms of corpus uteri and uterus, part unspecified","C54"
29,"Malignant neoplasms of corpus uteri and uterus, part unspecified","C55"
30,"Malignant neoplasm of ovary","C56"
31,"Malignant neoplasm of prostate","C61"
32,"Malignant neoplasms of kidney and renal pelvis","C64"
32,"Malignant neoplasms of kidney and renal pelvis","C65"
33,"Malignant neoplasm of bladder","C67"
34,"Malignant neoplasms of meninges, brain and other parts of central nervous system","C70"
34,"Malignant neoplasms of meninges, brain and other parts of central nervous system","C71"
34,"Malignant neoplasms of meninges, brain and other parts of central nervous system","C72"
35,"Hodgkin's disease","C81"
36,"Non-Hodgkin's lymphoma","C82"
36,"Non-Hodgkin's lymphoma","C83"
36,"Non-Hodgkin's lymphoma","C84"
36,"Non-Hodgkin's lymphoma","C85"
37,"Leukemia","C91"
37,"Leukemia","C92"
37,"Leukemia","C93"
37,"Leukemia","C94"
37,"Leukemia","C95"
38,"Multiple myeloma and immunoproliferative neoplasms","C88"
38,"Multiple myeloma and immunoproliferative neoplasms","C90"
39,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue","C96"
40,"All other and unspecified malignant neoplasms","C17"
40,"All other and unspecified malignant neoplasms","C23"
40,"All other and unspecified malignant neoplasms","C24"
40,"All other and unspecified malignant neoplasms","C26"
40,"All other and unspecified malignant neoplasms","C27"
40,"All other and unspecified malignant neoplasms","C28"
40,"All other and unspecified malignant neoplasms","C29"
40,"All other and unspecified malignant neoplasms","C30"
40,"All other and unspecified malignant neoplasms","C31"
40,"All other and unspecified malignant neoplasms","C37"
40,"All other and unspecified malignant neoplasms","C38"
40,"All other and unspecified malignant neoplasms","C39"
40,"All other and unspecified malignant neoplasms","C40"
40,"All other and unspecified malignant neoplasms","C41"
40,"All other and unspecified malignant neoplasms","C44"
40,"All other and unspecified malignant neoplasms","C45"
40,"All other and unspecified malignant neoplasms","C46"
40,"All other and unspecified malignant neoplasms","C47"
40,"All other and unspecified malignant neoplasms","C48"
40,"All other and unspecified malignant neoplasms","C49"
40,"All other and unspecified malignant neoplasms","C51"
40,"All other and unspecified malignant neoplasms","C52"
40,"All other and unspecified malignant neoplasms","C57"
40,"All other and unspecified malignant neoplasms","C58"
40,"All other and unspecified malignant neoplasms","C59"
40,"All other and unspecified malignant neoplasms","C60"
40,"All other and unspecified malignant neoplasms","C62"
40,"All other and unspecified malignant neoplasms","C63"
40,"All other and unspecified malignant neoplasms","C66"
40,"All other and unspecified malignant neoplasms","C68"
40,"All other and unspecified malignant neoplasms","C69"
40,"All other and unspecified malignant neoplasms","C73"
40,"All other and unspecified malignant neoplasms","C74"
40,"All other and unspecified malignant neoplasms","C75"
40,"All other and unspecified malignant neoplasms","C76"
40,"All other and unspecified malignant neoplasms","C77"
40,"All other and unspecified malignant neoplasms","C78"
40,"All other and unspecified malignant neoplasms","C79"
40,"All other and unspecified malignant neoplasms","C80"
40,"All other and unspecified malignant neoplasms","C97"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D00"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D01"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D02"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D03"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D04"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D05"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D06"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D07"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D08"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D09"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D10"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D11"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D12"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D13"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D14"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D15"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D16"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D17"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D18"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D19"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D20"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D21"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D22"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D23"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D24"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D25"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D26"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D27"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D28"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D29"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D30"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D31"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D32"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D33"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D34"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D35"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D36"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D37"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D38"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D39"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D40"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D41"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D42"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D43"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D44"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D45"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D46"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D47"
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D48"
42,"Anemias","D50"
42,"Anemias","D51"
42,"Anemias","D52"
42,"Anemias","D53"
42,"Anemias","D54"
42,"Anemias","D55"
42,"Anemias","D56"
42,"Anemias","D57"
42,"Anemias","D58"
42,"Anemias","D59"
42,"Anemias","D60"
42,"Anemias","D61"
42,"Anemias","D62"
42,"Anemias","D63"
42,"Anemias","D64"
43,"Diabetes mellitus","E10"
43,"Diabetes mellitus","E11"
43,"Diabetes mellitus","E12"
43,"Diabetes mellitus","E13"
43,"Diabetes mellitus","E14"
44,"Malnutrition","E40"
44,"Malnutrition","E41"
44,"Malnutrition","E42"
44,"Malnutrition","E43"
44,"Malnutrition","E44"
44,"Malnutrition","E45"
44,"Malnutrition","E46"
45,"Other nutritional deficiencies","E50"
45,"Other nutritional deficiencies","E51"
45,"Other nutritional deficiencies","E52"
45,"Other nutritional deficiencies","E53"
45,"Other nutritional deficiencies","E54"
45,"Other nutritional deficiencies","E55"
45,"Other nutritional deficiencies","E56"
45,"Other nutritional deficiencies","E57"
45,"Other nutritional deficiencies","E58"
45,"Other nutritional deficiencies","E59"
45,"Other nutritional deficiencies","E60"
45,"Other nutritional deficiencies","E61"
45,"Other nutritional deficiencies","E62"
45,"Other nutritional deficiencies","E63"
45,"Other nutritional deficiencies","E64"
46,"Meningitis","G00"
46,"Meningitis","G03"
47,"Parkinson's disease","G20"
47,"Parkinson's disease","G21"
48,"Alzheimer's disease","G30"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I00"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I01"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I02"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I03"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I04"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I05"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I06"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I07"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I08"
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I09"
50,"Hypertensive heart disease","I11"
51,"Hypertensive heart and renal disease","I13"
52,"Acute myocardial infarction","I21"
52,"Acute myocardial infarction","I22"
53,"Other acute ischemic heart diseases","I24"
54,"Atherosclerotic cardiovascular disease, so described","I250"
55,"All other forms of chronic ischemic heart disease","I20"
55,"All other forms of chronic ischemic heart disease","I251"
55,"All other forms of chronic ischemic heart disease","I252"
55,"All other forms of chronic ischemic heart disease","I253"
55,"All other forms of chronic ischemic heart disease","I254"
55,"All other forms of chronic ischemic heart disease","I255"
55,"All other forms of chronic ischemic heart disease","I256"
55,"All other forms of chronic ischemic heart disease","I257"
55,"All other forms of chronic ischemic heart disease","I258"
55,"All other forms of chronic ischemic heart disease","I259"
56,"Acute and subacute endocarditis","I33"
57,"Diseases of pericardium and acute myocarditis","I30"
57,"Diseases of pericardium and acute myocarditis","I31"
57,"Diseases of pericardium and acute myocarditis","I40"
58,"Heart failure","I50"
59,"All other forms of heart disease","I26"
59,"All other forms of heart disease","I27"
59,"All other forms of heart disease","I28"
59,"All other forms of heart disease","I34"
59,"All other forms of heart disease","I35"
59,"All other forms of heart disease","I36"
59,"All other forms of heart disease","I37"
59,"All other forms of heart disease","I38"
59,"All other forms of heart disease","I42"
59,"All other forms of heart disease","I43"
59,"All other forms of heart disease","I44"
59,"All other forms of heart disease","I45"
59,"All other forms of heart disease","I46"
59,"All other forms of heart disease","I47"
59,"All other forms of heart disease","I48"
59,"All other forms of heart disease","I49"
59,"All other forms of heart disease","I51"
60,"Essential (primary) hypertension and hypertensive renal disease","I10"
60,"Essential (primary) hypertension and hypertensive renal disease","I12"
60,"Essential (primary) hypertension and hypertensive renal disease","I15"
61,"Cerebrovascular diseases","I60"
61,"Cerebrovascular diseases","I61"
61,"Cerebrovascular diseases","I62"
61,"Cerebrovascular diseases","I63"
61,"Cerebrovascular diseases","I64"
61,"Cerebrovascular diseases","I65"
61,"Cerebrovascular diseases","I66"
61,"Cerebrovascular diseases","I67"
61,"Cerebrovascular diseases","I68"
61,"Cerebrovascular diseases","I69"
62,"Atherosclerosis","I70"
63,"Aortic aneurysm and dissection","I71"
64,"Other diseases of arteries, arterioles and capillaries","I72"
64,"Other diseases of arteries, arterioles and capillaries","I73"
64,"Other diseases of arteries, arterioles and capillaries","I74"
64,"Other diseases of arteries, arterioles and capillaries","I75"
64,"Other diseases of arteries, arterioles and capillaries","I76"
64,"Other diseases of arteries, arterioles and capillaries","I77"
64,"Other diseases of arteries, arterioles and capillaries","I78"
65,"Other disorders of circulatory system","I80"
65,"Other disorders of circulatory system","I81"
65,"Other disorders of circulatory system","I82"
65,"Other disorders of circulatory system","I83"
65,"Other disorders of circulatory system","I84"
65,"Other disorders of circulatory system","I85"
65,"Other disorders of circulatory system","I86"
65,"Other disorders of circulatory system","I87"
65,"Other disorders of circulatory system","I88"
65,"Other disorders of circulatory system","I89"
65,"Other disorders of circulatory system","I90"
65,"Other disorders of circulatory system","I91"
65,"Other disorders of circulatory system","I92"
65,"Other disorders of circulatory system","I93"
65,"Other disorders of circulatory system","I94"
65,"Other disorders of circulatory system","I95"
65,"Other disorders of circulatory system","I96"
65,"Other disorders of circulatory system","I97"
65,"Other disorders of circulatory system","I98"
65,"Other disorders of circulatory system","I99"
66,"Influenza","J09"
66,"Influenza","J10"
66,"Influenza","J11"
67,"Pneumonia","J12"
67,"Pneumonia","J13"
67,"Pneumonia","J14"
67,"Pneumonia","J15"
67,"Pneumonia","J16"
67,"Pneumonia","J17"
67,"Pneumonia","J18"
68,"Acute bronchitis and bronchiolitis","J20"
68,"Acute bronchitis and bronchiolitis","J21"
69,"Unspecified acute lower respiratory infection","J22"
69,"Unspecified acute lower respiratory infection","U04"
70,"Bronchitis, chronic and unspecified","J40"
70,"Bronchitis, chronic and unspecified","J41"
70,"Bronchitis, chronic and unspecified","J42"
71,"Emphysema","J43"
72,"Asthma","J45"
72,"Asthma","J46"
73,"Other chronic lower respiratory diseases","J44"
73,"Other chronic lower respiratory diseases","J47"
74,"Pneumoconioses and chemical effects","J60"
74,"Pneumoconioses and chemical effects","J61"
74,"Pneumoconioses and chemical effects","J62"
74,"Pneumoconioses and chemical effects","J63"
74,"Pneumoconioses and chemical effects","J64"
74,"Pneumoconioses and chemical effects","J65"
74,"Pneumoconioses and chemical effects","J66"
74,"Pneumoconioses and chemical effects","J68"
75,"Pneumonitis due to solids and liquids","J69"
76,"Other diseases of respiratory system","J00"
76,"Other diseases of respiratory system","J01"
76,"Other diseases of respiratory system","J02"
76,"Other diseases of respiratory system","J03"
76,"Other diseases of respiratory system","J04"
76,"Other diseases of respiratory system","J05"
76,"Other diseases of respiratory system","J06"
76,"Other diseases of respiratory system","J30"
76,"Other diseases of respiratory system","J31"
76,"Other diseases of respiratory system","J32"
76,"Other diseases of respiratory system","J33"
76,"Other diseases of respiratory system","J34"
76,"Other diseases of respiratory system","J35"
76,"Other diseases of respiratory system","J36"
76,"Other diseases of respiratory system","J37"
76,"Other diseases of respiratory system","J38"
76,"Other diseases of respiratory system","J39"
76,"Other diseases of respiratory system","J67"
76,"Other diseases of respiratory system","J70"
76,"Other diseases of respiratory system","J71"
76,"Other diseases of respiratory system","J72"
76,"Other diseases of respiratory system","J73"
76,"Other diseases of respiratory system","J74"
76,"Other diseases of respiratory system","J75"
76,"Other diseases of respiratory system","J76"
76,"Other diseases of respiratory system","J77"
76,"Other diseases of respiratory system","J78"
76,"Other diseases of respiratory system","J79"
76,"Other diseases of respiratory system","J80"
76,"Other diseases of respiratory system","J81"
76,"Other diseases of respiratory system","J82"
76,"Other diseases of respiratory system","J83"
76,"Other diseases of respiratory system","J84"
76,"Other diseases of respiratory system","J85"
76,"Other diseases of respiratory system","J86"
76,"Other diseases of respiratory system","J87"
76,"Other diseases of respiratory system","J88"
76,"Other diseases of respiratory system","J89"
76,"Other diseases of respiratory system","J90"
76,"Other diseases of respiratory system","J91"
76,"Other diseases of respiratory system","J92"
76,"Other diseases of respiratory system","J93"
76,"Other diseases of respiratory system","J94"
76,"Other diseases of respiratory system","J95"
76,"Other diseases of respiratory system","J96"
