"causeid","cause.of.death","icd10","orig.coding"
1,"Certain intestinal infectious diseases","A047","A00-A08"
1,"Certain intestinal infectious diseases","A048","A00-A08"
1,"Certain intestinal infectious diseases","A049","A00-A08"
1,"Certain intestinal infectious diseases","A050","A00-A08"
1,"Certain intestinal infectious diseases","A051","A00-A08"
1,"Certain intestinal infectious diseases","A052","A00-A08"
1,"Certain intestinal infectious diseases","A053","A00-A08"
1,"Certain intestinal infectious diseases","A054","A00-A08"
1,"Certain intestinal infectious diseases","A055","A00-A08"
1,"Certain intestinal infectious diseases","A056","A00-A08"
1,"Certain intestinal infectious diseases","A057","A00-A08"
1,"Certain intestinal infectious diseases","A058","A00-A08"
1,"Certain intestinal infectious diseases","A059","A00-A08"
1,"Certain intestinal infectious diseases","A060","A00-A08"
1,"Certain intestinal infectious diseases","A061","A00-A08"
1,"Certain intestinal infectious diseases","A062","A00-A08"
1,"Certain intestinal infectious diseases","A063","A00-A08"
1,"Certain intestinal infectious diseases","A064","A00-A08"
1,"Certain intestinal infectious diseases","A065","A00-A08"
1,"Certain intestinal infectious diseases","A066","A00-A08"
1,"Certain intestinal infectious diseases","A067","A00-A08"
1,"Certain intestinal infectious diseases","A068","A00-A08"
1,"Certain intestinal infectious diseases","A069","A00-A08"
1,"Certain intestinal infectious diseases","A070","A00-A08"
1,"Certain intestinal infectious diseases","A071","A00-A08"
1,"Certain intestinal infectious diseases","A072","A00-A08"
1,"Certain intestinal infectious diseases","A073","A00-A08"
1,"Certain intestinal infectious diseases","A074","A00-A08"
1,"Certain intestinal infectious diseases","A075","A00-A08"
1,"Certain intestinal infectious diseases","A076","A00-A08"
1,"Certain intestinal infectious diseases","A077","A00-A08"
1,"Certain intestinal infectious diseases","A078","A00-A08"
1,"Certain intestinal infectious diseases","A079","A00-A08"
1,"Certain intestinal infectious diseases","A080","A00-A08"
1,"Certain intestinal infectious diseases","A081","A00-A08"
1,"Certain intestinal infectious diseases","A082","A00-A08"
1,"Certain intestinal infectious diseases","A083","A00-A08"
1,"Certain intestinal infectious diseases","A084","A00-A08"
1,"Certain intestinal infectious diseases","A085","A00-A08"
1,"Certain intestinal infectious diseases","A086","A00-A08"
1,"Certain intestinal infectious diseases","A087","A00-A08"
1,"Certain intestinal infectious diseases","A088","A00-A08"
1,"Certain intestinal infectious diseases","A089","A00-A08"
2,"Diarrhea and gastroenteritis of infectious origin","A090","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A091","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A092","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A093","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A094","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A095","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A096","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A097","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A098","A09"
2,"Diarrhea and gastroenteritis of infectious origin","A099","A09"
3,"Tuberculosis","A160","A16-A19"
3,"Tuberculosis","A161","A16-A19"
3,"Tuberculosis","A162","A16-A19"
3,"Tuberculosis","A163","A16-A19"
3,"Tuberculosis","A164","A16-A19"
3,"Tuberculosis","A165","A16-A19"
3,"Tuberculosis","A166","A16-A19"
3,"Tuberculosis","A167","A16-A19"
3,"Tuberculosis","A168","A16-A19"
3,"Tuberculosis","A169","A16-A19"
3,"Tuberculosis","A170","A16-A19"
3,"Tuberculosis","A171","A16-A19"
3,"Tuberculosis","A172","A16-A19"
3,"Tuberculosis","A173","A16-A19"
3,"Tuberculosis","A174","A16-A19"
3,"Tuberculosis","A175","A16-A19"
3,"Tuberculosis","A176","A16-A19"
3,"Tuberculosis","A177","A16-A19"
3,"Tuberculosis","A178","A16-A19"
3,"Tuberculosis","A179","A16-A19"
3,"Tuberculosis","A180","A16-A19"
3,"Tuberculosis","A181","A16-A19"
3,"Tuberculosis","A182","A16-A19"
3,"Tuberculosis","A183","A16-A19"
3,"Tuberculosis","A184","A16-A19"
3,"Tuberculosis","A185","A16-A19"
3,"Tuberculosis","A186","A16-A19"
3,"Tuberculosis","A187","A16-A19"
3,"Tuberculosis","A188","A16-A19"
3,"Tuberculosis","A189","A16-A19"
3,"Tuberculosis","A190","A16-A19"
3,"Tuberculosis","A191","A16-A19"
3,"Tuberculosis","A192","A16-A19"
3,"Tuberculosis","A193","A16-A19"
3,"Tuberculosis","A194","A16-A19"
3,"Tuberculosis","A195","A16-A19"
3,"Tuberculosis","A196","A16-A19"
3,"Tuberculosis","A197","A16-A19"
3,"Tuberculosis","A198","A16-A19"
3,"Tuberculosis","A199","A16-A19"
4,"Tetanus","A330","A33,A35"
4,"Tetanus","A331","A33,A35"
4,"Tetanus","A332","A33,A35"
4,"Tetanus","A333","A33,A35"
4,"Tetanus","A334","A33,A35"
4,"Tetanus","A335","A33,A35"
4,"Tetanus","A336","A33,A35"
4,"Tetanus","A337","A33,A35"
4,"Tetanus","A338","A33,A35"
4,"Tetanus","A339","A33,A35"
4,"Tetanus","A350","A33,A35"
4,"Tetanus","A351","A33,A35"
4,"Tetanus","A352","A33,A35"
4,"Tetanus","A353","A33,A35"
4,"Tetanus","A354","A33,A35"
4,"Tetanus","A355","A33,A35"
4,"Tetanus","A356","A33,A35"
4,"Tetanus","A357","A33,A35"
4,"Tetanus","A358","A33,A35"
4,"Tetanus","A359","A33,A35"
5,"Diphtheria","A360","A36"
5,"Diphtheria","A361","A36"
5,"Diphtheria","A362","A36"
5,"Diphtheria","A363","A36"
5,"Diphtheria","A364","A36"
5,"Diphtheria","A365","A36"
5,"Diphtheria","A366","A36"
5,"Diphtheria","A367","A36"
5,"Diphtheria","A368","A36"
5,"Diphtheria","A369","A36"
6,"Whooping cough","A370","A37"
6,"Whooping cough","A371","A37"
6,"Whooping cough","A372","A37"
6,"Whooping cough","A373","A37"
6,"Whooping cough","A374","A37"
6,"Whooping cough","A375","A37"
6,"Whooping cough","A376","A37"
6,"Whooping cough","A377","A37"
6,"Whooping cough","A378","A37"
6,"Whooping cough","A379","A37"
7,"Meningococcal infection","A390","A39"
7,"Meningococcal infection","A391","A39"
7,"Meningococcal infection","A392","A39"
7,"Meningococcal infection","A393","A39"
7,"Meningococcal infection","A394","A39"
7,"Meningococcal infection","A395","A39"
7,"Meningococcal infection","A396","A39"
7,"Meningococcal infection","A397","A39"
7,"Meningococcal infection","A398","A39"
7,"Meningococcal infection","A399","A39"
8,"Septicemia","A400","A40-A41"
8,"Septicemia","A401","A40-A41"
8,"Septicemia","A402","A40-A41"
8,"Septicemia","A403","A40-A41"
8,"Septicemia","A404","A40-A41"
8,"Septicemia","A405","A40-A41"
8,"Septicemia","A406","A40-A41"
8,"Septicemia","A407","A40-A41"
8,"Septicemia","A408","A40-A41"
8,"Septicemia","A409","A40-A41"
8,"Septicemia","A410","A40-A41"
8,"Septicemia","A411","A40-A41"
8,"Septicemia","A412","A40-A41"
8,"Septicemia","A413","A40-A41"
8,"Septicemia","A414","A40-A41"
8,"Septicemia","A415","A40-A41"
8,"Septicemia","A416","A40-A41"
8,"Septicemia","A417","A40-A41"
8,"Septicemia","A418","A40-A41"
8,"Septicemia","A419","A40-A41"
9,"Congenital syphilis","A500","A50"
9,"Congenital syphilis","A501","A50"
9,"Congenital syphilis","A502","A50"
9,"Congenital syphilis","A503","A50"
9,"Congenital syphilis","A504","A50"
9,"Congenital syphilis","A505","A50"
9,"Congenital syphilis","A506","A50"
9,"Congenital syphilis","A507","A50"
9,"Congenital syphilis","A508","A50"
9,"Congenital syphilis","A509","A50"
10,"Gonococcal infection","A540","A54"
10,"Gonococcal infection","A541","A54"
10,"Gonococcal infection","A542","A54"
10,"Gonococcal infection","A543","A54"
10,"Gonococcal infection","A544","A54"
10,"Gonococcal infection","A545","A54"
10,"Gonococcal infection","A546","A54"
10,"Gonococcal infection","A547","A54"
10,"Gonococcal infection","A548","A54"
10,"Gonococcal infection","A549","A54"
11,"Acute poliomyelitis","A800","A80"
11,"Acute poliomyelitis","A801","A80"
11,"Acute poliomyelitis","A802","A80"
11,"Acute poliomyelitis","A803","A80"
11,"Acute poliomyelitis","A804","A80"
11,"Acute poliomyelitis","A805","A80"
11,"Acute poliomyelitis","A806","A80"
11,"Acute poliomyelitis","A807","A80"
11,"Acute poliomyelitis","A808","A80"
11,"Acute poliomyelitis","A809","A80"
12,"Varicella (chickenpox)","B010","B01"
12,"Varicella (chickenpox)","B011","B01"
12,"Varicella (chickenpox)","B012","B01"
12,"Varicella (chickenpox)","B013","B01"
12,"Varicella (chickenpox)","B014","B01"
12,"Varicella (chickenpox)","B015","B01"
12,"Varicella (chickenpox)","B016","B01"
12,"Varicella (chickenpox)","B017","B01"
12,"Varicella (chickenpox)","B018","B01"
12,"Varicella (chickenpox)","B019","B01"
13,"Measles","B050","B05"
13,"Measles","B051","B05"
13,"Measles","B052","B05"
13,"Measles","B053","B05"
13,"Measles","B054","B05"
13,"Measles","B055","B05"
13,"Measles","B056","B05"
13,"Measles","B057","B05"
13,"Measles","B058","B05"
13,"Measles","B059","B05"
14,"Human immunodeficiency virus (HIV) disease","B200","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B201","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B202","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B203","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B204","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B205","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B206","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B207","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B208","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B209","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B210","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B211","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B212","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B213","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B214","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B215","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B216","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B217","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B218","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B219","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B220","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B221","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B222","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B223","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B224","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B225","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B226","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B227","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B228","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B229","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B230","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B231","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B232","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B233","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B234","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B235","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B236","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B237","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B238","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B239","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B240","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B241","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B242","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B243","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B244","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B245","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B246","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B247","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B248","B20-B24"
14,"Human immunodeficiency virus (HIV) disease","B249","B20-B24"
15,"Mumps","B260","B26"
15,"Mumps","B261","B26"
15,"Mumps","B262","B26"
15,"Mumps","B263","B26"
15,"Mumps","B264","B26"
15,"Mumps","B265","B26"
15,"Mumps","B266","B26"
15,"Mumps","B267","B26"
15,"Mumps","B268","B26"
15,"Mumps","B269","B26"
16,"Other and unspecified viral diseases","A810","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A811","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A812","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A813","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A814","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A815","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A816","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A817","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A818","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A819","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A820","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A821","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A822","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A823","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A824","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A825","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A826","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A827","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A828","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A829","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A830","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A831","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A832","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A833","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A834","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A835","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A836","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A837","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A838","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A839","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A840","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A841","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A842","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A843","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A844","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A845","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A846","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A847","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A848","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A849","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A850","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A851","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A852","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A853","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A854","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A855","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A856","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A857","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A858","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A859","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A860","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A861","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A862","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A863","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A864","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A865","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A866","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A867","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A868","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A869","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A870","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A871","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A872","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A873","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A874","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A875","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A876","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A877","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A878","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A879","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A880","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A881","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A882","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A883","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A884","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A885","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A886","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A887","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A888","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A889","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A890","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A891","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A892","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A893","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A894","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A895","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A896","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A897","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A898","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A899","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A900","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A901","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A902","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A903","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A904","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A905","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A906","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A907","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A908","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A909","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A910","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A911","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A912","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A913","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A914","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A915","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A916","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A917","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A918","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A919","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A920","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A921","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A922","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A923","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A924","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A925","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A926","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A927","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A928","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A929","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A930","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A931","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A932","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A933","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A934","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A935","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A936","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A937","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A938","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A939","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A940","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A941","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A942","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A943","A81-B00,B02-B04,B06-B19,B25,B27-B34"
16,"Other and unspecified viral diseases","A944","A81-B00,B02-B04,B06-B19,B25,B27-B34"
