"causeid","cause.of.death","icd10","uploaded"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A28",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A29",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A30",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A31",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A32",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A33",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A34",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A35",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A36",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A42",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A43",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A44",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A48",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A49",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A54",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A55",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A56",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A57",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A58",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A59",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A60",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A61",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A62",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A63",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A64",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A65",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A66",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A67",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A68",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A69",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A70",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A71",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A72",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A73",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A74",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A75",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A76",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A77",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A78",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A79",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A81",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A82",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A850",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A851",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A858",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A86",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A87",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A88",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A89",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A90",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A91",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A92",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A93",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A94",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A95",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A96",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A97",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A98",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A99",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B00",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B01",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B02",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B03",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B04",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B06",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B07",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B08",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B09",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B25",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B26",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B27",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B28",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B29",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B30",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B31",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B32",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B33",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B34",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B35",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B36",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B37",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B38",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B39",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B40",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B41",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B42",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B43",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B44",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B45",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B46",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B47",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B48",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B49",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B55",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B56",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B57",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B58",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B59",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B60",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B61",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B62",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B63",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B64",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B65",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B66",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B67",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B68",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B69",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B70",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B71",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B72",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B73",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B74",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B75",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B76",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B77",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B78",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B79",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B80",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B81",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B82",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B83",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B84",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B85",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B86",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B87",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B88",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B89",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B90",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B91",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B92",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B93",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B94",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B95",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B96",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B97",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B98",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","B99",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","U071",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C00",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C01",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C02",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C03",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C04",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C05",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C06",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C07",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C08",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C09",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C10",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C11",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C12",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C13",2022-02-02
18,"Malignant neoplasms of lip, oral cavity and pharynx","C14",2022-02-02
19,"Malignant neoplasm of esophagus","C15",2022-02-02
20,"Malignant neoplasm of stomach","C16",2022-02-02
21,"Malignant neoplasms of colon, rectum and anus","C18",2022-02-02
21,"Malignant neoplasms of colon, rectum and anus","C19",2022-02-02
21,"Malignant neoplasms of colon, rectum and anus","C20",2022-02-02
21,"Malignant neoplasms of colon, rectum and anus","C21",2022-02-02
22,"Malignant neoplasms of liver and intrahepatic bile ducts","C22",2022-02-02
23,"Malignant neoplasm of pancreas","C25",2022-02-02
24,"Malignant neoplasm of larynx","C32",2022-02-02
25,"Malignant neoplasms of trachea, bronchus and lung","C33",2022-02-02
25,"Malignant neoplasms of trachea, bronchus and lung","C34",2022-02-02
26,"Malignant melanoma of skin","C43",2022-02-02
27,"Malignant neoplasm of breast","C50",2022-02-02
28,"Malignant neoplasm of cervix uteri","C53",2022-02-02
29,"Malignant neoplasms of corpus uteri and uterus, part unspecified","C54",2022-02-02
29,"Malignant neoplasms of corpus uteri and uterus, part unspecified","C55",2022-02-02
30,"Malignant neoplasm of ovary","C56",2022-02-02
31,"Malignant neoplasm of prostate","C61",2022-02-02
32,"Malignant neoplasms of kidney and renal pelvis","C64",2022-02-02
32,"Malignant neoplasms of kidney and renal pelvis","C65",2022-02-02
33,"Malignant neoplasm of bladder","C67",2022-02-02
34,"Malignant neoplasms of meninges, brain and other parts of central nervous system","C70",2022-02-02
34,"Malignant neoplasms of meninges, brain and other parts of central nervous system","C71",2022-02-02
34,"Malignant neoplasms of meninges, brain and other parts of central nervous system","C72",2022-02-02
35,"Hodgkin's disease","C81",2022-02-02
36,"Non-Hodgkin's lymphoma","C82",2022-02-02
36,"Non-Hodgkin's lymphoma","C83",2022-02-02
36,"Non-Hodgkin's lymphoma","C84",2022-02-02
36,"Non-Hodgkin's lymphoma","C85",2022-02-02
37,"Leukemia","C91",2022-02-02
37,"Leukemia","C92",2022-02-02
37,"Leukemia","C93",2022-02-02
37,"Leukemia","C94",2022-02-02
37,"Leukemia","C95",2022-02-02
38,"Multiple myeloma and immunoproliferative neoplasms","C88",2022-02-02
38,"Multiple myeloma and immunoproliferative neoplasms","C90",2022-02-02
39,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue","C96",2022-02-02
40,"All other and unspecified malignant neoplasms","C17",2022-02-02
40,"All other and unspecified malignant neoplasms","C23",2022-02-02
40,"All other and unspecified malignant neoplasms","C24",2022-02-02
40,"All other and unspecified malignant neoplasms","C26",2022-02-02
40,"All other and unspecified malignant neoplasms","C27",2022-02-02
40,"All other and unspecified malignant neoplasms","C28",2022-02-02
40,"All other and unspecified malignant neoplasms","C29",2022-02-02
40,"All other and unspecified malignant neoplasms","C30",2022-02-02
40,"All other and unspecified malignant neoplasms","C31",2022-02-02
40,"All other and unspecified malignant neoplasms","C37",2022-02-02
40,"All other and unspecified malignant neoplasms","C38",2022-02-02
40,"All other and unspecified malignant neoplasms","C39",2022-02-02
40,"All other and unspecified malignant neoplasms","C40",2022-02-02
40,"All other and unspecified malignant neoplasms","C41",2022-02-02
40,"All other and unspecified malignant neoplasms","C44",2022-02-02
40,"All other and unspecified malignant neoplasms","C45",2022-02-02
40,"All other and unspecified malignant neoplasms","C46",2022-02-02
40,"All other and unspecified malignant neoplasms","C47",2022-02-02
40,"All other and unspecified malignant neoplasms","C48",2022-02-02
40,"All other and unspecified malignant neoplasms","C49",2022-02-02
40,"All other and unspecified malignant neoplasms","C51",2022-02-02
40,"All other and unspecified malignant neoplasms","C52",2022-02-02
40,"All other and unspecified malignant neoplasms","C57",2022-02-02
40,"All other and unspecified malignant neoplasms","C58",2022-02-02
40,"All other and unspecified malignant neoplasms","C59",2022-02-02
40,"All other and unspecified malignant neoplasms","C60",2022-02-02
40,"All other and unspecified malignant neoplasms","C62",2022-02-02
40,"All other and unspecified malignant neoplasms","C63",2022-02-02
40,"All other and unspecified malignant neoplasms","C66",2022-02-02
40,"All other and unspecified malignant neoplasms","C68",2022-02-02
40,"All other and unspecified malignant neoplasms","C69",2022-02-02
40,"All other and unspecified malignant neoplasms","C73",2022-02-02
40,"All other and unspecified malignant neoplasms","C74",2022-02-02
40,"All other and unspecified malignant neoplasms","C75",2022-02-02
40,"All other and unspecified malignant neoplasms","C76",2022-02-02
40,"All other and unspecified malignant neoplasms","C77",2022-02-02
40,"All other and unspecified malignant neoplasms","C78",2022-02-02
40,"All other and unspecified malignant neoplasms","C79",2022-02-02
40,"All other and unspecified malignant neoplasms","C80",2022-02-02
40,"All other and unspecified malignant neoplasms","C97",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D00",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D01",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D02",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D03",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D04",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D05",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D06",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D07",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D08",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D09",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D10",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D11",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D12",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D13",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D14",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D15",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D16",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D17",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D18",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D19",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D20",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D21",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D22",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D23",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D24",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D25",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D26",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D27",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D28",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D29",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D30",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D31",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D32",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D33",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D34",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D35",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D36",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D37",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D38",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D39",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D40",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D41",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D42",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D43",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D44",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D45",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D46",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D47",2022-02-02
41,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","D48",2022-02-02
42,"Anemias","D50",2022-02-02
42,"Anemias","D51",2022-02-02
42,"Anemias","D52",2022-02-02
42,"Anemias","D53",2022-02-02
42,"Anemias","D54",2022-02-02
42,"Anemias","D55",2022-02-02
42,"Anemias","D56",2022-02-02
42,"Anemias","D57",2022-02-02
42,"Anemias","D58",2022-02-02
42,"Anemias","D59",2022-02-02
42,"Anemias","D60",2022-02-02
42,"Anemias","D61",2022-02-02
42,"Anemias","D62",2022-02-02
42,"Anemias","D63",2022-02-02
42,"Anemias","D64",2022-02-02
43,"Diabetes mellitus","E10",2022-02-02
43,"Diabetes mellitus","E11",2022-02-02
43,"Diabetes mellitus","E12",2022-02-02
43,"Diabetes mellitus","E13",2022-02-02
43,"Diabetes mellitus","E14",2022-02-02
44,"Malnutrition","E40",2022-02-02
44,"Malnutrition","E41",2022-02-02
44,"Malnutrition","E42",2022-02-02
44,"Malnutrition","E43",2022-02-02
44,"Malnutrition","E44",2022-02-02
44,"Malnutrition","E45",2022-02-02
44,"Malnutrition","E46",2022-02-02
45,"Other nutritional deficiencies","E50",2022-02-02
45,"Other nutritional deficiencies","E51",2022-02-02
45,"Other nutritional deficiencies","E52",2022-02-02
45,"Other nutritional deficiencies","E53",2022-02-02
45,"Other nutritional deficiencies","E54",2022-02-02
45,"Other nutritional deficiencies","E55",2022-02-02
45,"Other nutritional deficiencies","E56",2022-02-02
45,"Other nutritional deficiencies","E57",2022-02-02
45,"Other nutritional deficiencies","E58",2022-02-02
45,"Other nutritional deficiencies","E59",2022-02-02
45,"Other nutritional deficiencies","E60",2022-02-02
45,"Other nutritional deficiencies","E61",2022-02-02
45,"Other nutritional deficiencies","E62",2022-02-02
45,"Other nutritional deficiencies","E63",2022-02-02
45,"Other nutritional deficiencies","E64",2022-02-02
46,"Meningitis","G00",2022-02-02
46,"Meningitis","G03",2022-02-02
47,"Parkinson's disease","G20",2022-02-02
47,"Parkinson's disease","G21",2022-02-02
48,"Alzheimer's disease","G30",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I00",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I01",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I02",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I03",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I04",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I05",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I06",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I07",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I08",2022-02-02
49,"Acute rheumatic fever and chronic rheumatic heart diseases","I09",2022-02-02
50,"Hypertensive heart disease","I11",2022-02-02
51,"Hypertensive heart and renal disease","I13",2022-02-02
52,"Acute myocardial infarction","I21",2022-02-02
52,"Acute myocardial infarction","I22",2022-02-02
53,"Other acute ischemic heart diseases","I24",2022-02-02
54,"Atherosclerotic cardiovascular disease, so described","I250",2022-02-02
55,"All other forms of chronic ischemic heart disease","I20",2022-02-02
55,"All other forms of chronic ischemic heart disease","I251",2022-02-02
55,"All other forms of chronic ischemic heart disease","I252",2022-02-02
55,"All other forms of chronic ischemic heart disease","I253",2022-02-02
55,"All other forms of chronic ischemic heart disease","I254",2022-02-02
55,"All other forms of chronic ischemic heart disease","I255",2022-02-02
55,"All other forms of chronic ischemic heart disease","I256",2022-02-02
55,"All other forms of chronic ischemic heart disease","I257",2022-02-02
55,"All other forms of chronic ischemic heart disease","I258",2022-02-02
55,"All other forms of chronic ischemic heart disease","I259",2022-02-02
56,"Acute and subacute endocarditis","I33",2022-02-02
57,"Diseases of pericardium and acute myocarditis","I30",2022-02-02
57,"Diseases of pericardium and acute myocarditis","I31",2022-02-02
57,"Diseases of pericardium and acute myocarditis","I40",2022-02-02
58,"Heart failure","I50",2022-02-02
59,"All other forms of heart disease","I26",2022-02-02
59,"All other forms of heart disease","I27",2022-02-02
59,"All other forms of heart disease","I28",2022-02-02
59,"All other forms of heart disease","I34",2022-02-02
59,"All other forms of heart disease","I35",2022-02-02
