"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","notes","uploaded"
"Broad","13-2050","13-0000","13-2000","13-2050",NA,"Financial Analysts and Advisors","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors",NA,NA,2022-02-02
"Detailed","13-2051","13-0000","13-2000","13-2050","13-2051","Financial Analysts","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Financial Analysts",NA,2022-02-02
"Detailed","13-2052","13-0000","13-2000","13-2050","13-2052","Personal Financial Advisors","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Personal Financial Advisors",NA,2022-02-02
"Detailed","13-2053","13-0000","13-2000","13-2050","13-2053","Insurance Underwriters","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Insurance Underwriters",NA,2022-02-02
"Broad","13-2060","13-0000","13-2000","13-2060",NA,"Financial Examiners","Business and Financial Operations Occupations","Financial Specialists","Financial Examiners",NA,NA,2022-02-02
"Detailed","13-2061","13-0000","13-2000","13-2060","13-2061","Financial Examiners","Business and Financial Operations Occupations","Financial Specialists","Financial Examiners","Financial Examiners",NA,2022-02-02
"Broad","13-2070","13-0000","13-2000","13-2070",NA,"Credit Counselors and Loan Officers","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers",NA,NA,2022-02-02
"Detailed","13-2071","13-0000","13-2000","13-2070","13-2071","Credit Counselors","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Credit Counselors",NA,2022-02-02
"Detailed","13-2072","13-0000","13-2000","13-2070","13-2072","Loan Officers","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Loan Officers",NA,2022-02-02
"Broad","13-2080","13-0000","13-2000","13-2080",NA,"Tax Examiners, Collectors and Preparers, and Revenue Agents","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents",NA,NA,2022-02-02
"Detailed","13-2081","13-0000","13-2000","13-2080","13-2081","Tax Examiners and Collectors, and Revenue Agents","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents",NA,2022-02-02
"Detailed","13-2082","13-0000","13-2000","13-2080","13-2082","Tax Preparers","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Preparers",NA,2022-02-02
"Broad","13-2090","13-0000","13-2000","13-2090",NA,"Miscellaneous Financial Specialists","Business and Financial Operations Occupations","Financial Specialists","Miscellaneous Financial Specialists",NA,NA,2022-02-02
"Detailed","13-2099","13-0000","13-2000","13-2090","13-2099","Financial Specialists, All Other","Business and Financial Operations Occupations","Financial Specialists","Miscellaneous Financial Specialists","Financial Specialists, All Other",NA,2022-02-02
"Major","15-0000","15-0000",NA,NA,NA,"Computer and Mathematical Occupations","Computer and Mathematical Occupations",NA,NA,NA,NA,2022-02-02
"Minor","15-1100","15-0000","15-1100",NA,NA,"Computer Occupations","Computer and Mathematical Occupations","Computer Occupations",NA,NA,NA,2022-02-02
"Broad","15-1110","15-0000","15-1100","15-1110",NA,"Computer and Information Research Scientists","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Research Scientists",NA,NA,2022-02-02
"Detailed","15-1111","15-0000","15-1100","15-1110","15-1111","Computer and Information Research Scientists","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Research Scientists","Computer and Information Research Scientists",NA,2022-02-02
"Broad","15-1120","15-0000","15-1100","15-1120",NA,"Computer and Information Analysts","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts",NA,NA,2022-02-02
"Detailed","15-1121","15-0000","15-1100","15-1120","15-1121","Computer Systems Analysts","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Computer Systems Analysts",NA,2022-02-02
"Detailed","15-1122","15-0000","15-1100","15-1120","15-1122","Information Security Analysts","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Information Security Analysts",NA,2022-02-02
"Broad","15-1130","15-0000","15-1100","15-1130",NA,"Software Developers and Programmers","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers",NA,NA,2022-02-02
"Detailed","15-1131","15-0000","15-1100","15-1130","15-1131","Computer Programmers","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Computer Programmers",NA,2022-02-02
"Detailed","15-1132","15-0000","15-1100","15-1130","15-1132","Software Developers, Applications","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Software Developers, Applications",NA,2022-02-02
"Detailed","15-1133","15-0000","15-1100","15-1130","15-1133","Software Developers, Systems Software","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Software Developers, Systems Software",NA,2022-02-02
"Detailed","15-1134","15-0000","15-1100","15-1130","15-1134","Web Developers","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Web Developers",NA,2022-02-02
"Broad","15-1140","15-0000","15-1100","15-1140",NA,"Database and Systems Administrators and Network Architects","Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects",NA,NA,2022-02-02
"Detailed","15-1141","15-0000","15-1100","15-1140","15-1141","Database Administrators","Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects","Database Administrators",NA,2022-02-02
"Detailed","15-1142","15-0000","15-1100","15-1140","15-1142","Network and Computer Systems Administrators","Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects","Network and Computer Systems Administrators",NA,2022-02-02
"Detailed","15-1143","15-0000","15-1100","15-1140","15-1143","Computer Network Architects","Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects","Computer Network Architects",NA,2022-02-02
"Broad","15-1150","15-0000","15-1100","15-1150",NA,"Computer Support Specialists","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists",NA,NA,2022-02-02
"Detailed","15-1151","15-0000","15-1100","15-1150","15-1151","Computer User Support Specialists","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer User Support Specialists",NA,2022-02-02
"Detailed","15-1152","15-0000","15-1100","15-1150","15-1152","Computer Network Support Specialists","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer Network Support Specialists",NA,2022-02-02
"Broad","15-1190","15-0000","15-1100","15-1190",NA,"Miscellaneous Computer Occupations","Computer and Mathematical Occupations","Computer Occupations","Miscellaneous Computer Occupations",NA,NA,2022-02-02
"Detailed","15-1199","15-0000","15-1100","15-1190","15-1199","Computer Occupations, All Other","Computer and Mathematical Occupations","Computer Occupations","Miscellaneous Computer Occupations","Computer Occupations, All Other",NA,2022-02-02
"Minor","15-2000","15-0000","15-2000",NA,NA,"Mathematical Science Occupations","Computer and Mathematical Occupations","Mathematical Science Occupations",NA,NA,NA,2022-02-02
"Broad","15-2010","15-0000","15-2000","15-2010",NA,"Actuaries","Computer and Mathematical Occupations","Mathematical Science Occupations","Actuaries",NA,NA,2022-02-02
"Detailed","15-2011","15-0000","15-2000","15-2010","15-2011","Actuaries","Computer and Mathematical Occupations","Mathematical Science Occupations","Actuaries","Actuaries",NA,2022-02-02
