"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","uploaded"
"Broad","11-3050","11-0000","11-3000","11-3050",NA,"Industrial Production Managers","Management Occupations","Operations Specialties Managers","Industrial Production Managers",NA,2022-02-02
"Detailed","11-3051","11-0000","11-3000","11-3050","11-3051","Industrial Production Managers","Management Occupations","Operations Specialties Managers","Industrial Production Managers","Industrial Production Managers",2022-02-02
"Broad","11-3060","11-0000","11-3000","11-3060",NA,"Purchasing Managers","Management Occupations","Operations Specialties Managers","Purchasing Managers",NA,2022-02-02
"Detailed","11-3061","11-0000","11-3000","11-3060","11-3061","Purchasing Managers","Management Occupations","Operations Specialties Managers","Purchasing Managers","Purchasing Managers",2022-02-02
"Broad","11-3070","11-0000","11-3000","11-3070",NA,"Transportation, Storage, and Distribution Managers","Management Occupations","Operations Specialties Managers","Transportation, Storage, and Distribution Managers",NA,2022-02-02
"Detailed","11-3071","11-0000","11-3000","11-3070","11-3071","Transportation, Storage, and Distribution Managers","Management Occupations","Operations Specialties Managers","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",2022-02-02
"Broad","11-3110","11-0000","11-3000","11-3110",NA,"Compensation and Benefits Managers","Management Occupations","Operations Specialties Managers","Compensation and Benefits Managers",NA,2022-02-02
"Detailed","11-3111","11-0000","11-3000","11-3110","11-3111","Compensation and Benefits Managers","Management Occupations","Operations Specialties Managers","Compensation and Benefits Managers","Compensation and Benefits Managers",2022-02-02
"Broad","11-3120","11-0000","11-3000","11-3120",NA,"Human Resources Managers","Management Occupations","Operations Specialties Managers","Human Resources Managers",NA,2022-02-02
"Detailed","11-3121","11-0000","11-3000","11-3120","11-3121","Human Resources Managers","Management Occupations","Operations Specialties Managers","Human Resources Managers","Human Resources Managers",2022-02-02
"Broad","11-3130","11-0000","11-3000","11-3130",NA,"Training and Development Managers","Management Occupations","Operations Specialties Managers","Training and Development Managers",NA,2022-02-02
"Detailed","11-3131","11-0000","11-3000","11-3130","11-3131","Training and Development Managers","Management Occupations","Operations Specialties Managers","Training and Development Managers","Training and Development Managers",2022-02-02
"Minor","11-9000","11-0000","11-9000",NA,NA,"Other Management Occupations","Management Occupations","Other Management Occupations",NA,NA,2022-02-02
"Broad","11-9010","11-0000","11-9000","11-9010",NA,"Farmers, Ranchers, and Other Agricultural Managers","Management Occupations","Other Management Occupations","Farmers, Ranchers, and Other Agricultural Managers",NA,2022-02-02
"Detailed","11-9013","11-0000","11-9000","11-9010","11-9013","Farmers, Ranchers, and Other Agricultural Managers","Management Occupations","Other Management Occupations","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",2022-02-02
"Broad","11-9020","11-0000","11-9000","11-9020",NA,"Construction Managers","Management Occupations","Other Management Occupations","Construction Managers",NA,2022-02-02
"Detailed","11-9021","11-0000","11-9000","11-9020","11-9021","Construction Managers","Management Occupations","Other Management Occupations","Construction Managers","Construction Managers",2022-02-02
"Broad","11-9030","11-0000","11-9000","11-9030",NA,"Education and Childcare Administrators","Management Occupations","Other Management Occupations","Education and Childcare Administrators",NA,2022-02-02
"Detailed","11-9031","11-0000","11-9000","11-9030","11-9031","Education and Childcare Administrators, Preschool and Daycare","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education and Childcare Administrators, Preschool and Daycare",2022-02-02
"Detailed","11-9032","11-0000","11-9000","11-9030","11-9032","Education Administrators, Kindergarten through Secondary","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education Administrators, Kindergarten through Secondary",2022-02-02
"Detailed","11-9033","11-0000","11-9000","11-9030","11-9033","Education Administrators, Postsecondary","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education Administrators, Postsecondary",2022-02-02
"Detailed","11-9039","11-0000","11-9000","11-9030","11-9039","Education Administrators, All Other","Management Occupations","Other Management Occupations","Education and Childcare Administrators","Education Administrators, All Other",2022-02-02
"Broad","11-9040","11-0000","11-9000","11-9040",NA,"Architectural and Engineering Managers","Management Occupations","Other Management Occupations","Architectural and Engineering Managers",NA,2022-02-02
"Detailed","11-9041","11-0000","11-9000","11-9040","11-9041","Architectural and Engineering Managers","Management Occupations","Other Management Occupations","Architectural and Engineering Managers","Architectural and Engineering Managers",2022-02-02
"Broad","11-9050","11-0000","11-9000","11-9050",NA,"Food Service Managers","Management Occupations","Other Management Occupations","Food Service Managers",NA,2022-02-02
"Detailed","11-9051","11-0000","11-9000","11-9050","11-9051","Food Service Managers","Management Occupations","Other Management Occupations","Food Service Managers","Food Service Managers",2022-02-02
"Broad","11-9070","11-0000","11-9000","11-9070",NA,"Entertainment and Recreation Managers","Management Occupations","Other Management Occupations","Entertainment and Recreation Managers",NA,2022-02-02
"Detailed","11-9071","11-0000","11-9000","11-9070","11-9071","Gambling Managers","Management Occupations","Other Management Occupations","Entertainment and Recreation Managers","Gambling Managers",2022-02-02
"Detailed","11-9072","11-0000","11-9000","11-9070","11-9072","Entertainment and Recreation Managers, Except Gambling","Management Occupations","Other Management Occupations","Entertainment and Recreation Managers","Entertainment and Recreation Managers, Except Gambling",2022-02-02
"Broad","11-9080","11-0000","11-9000","11-9080",NA,"Lodging Managers","Management Occupations","Other Management Occupations","Lodging Managers",NA,2022-02-02
"Detailed","11-9081","11-0000","11-9000","11-9080","11-9081","Lodging Managers","Management Occupations","Other Management Occupations","Lodging Managers","Lodging Managers",2022-02-02
"Broad","11-9110","11-0000","11-9000","11-9110",NA,"Medical and Health Services Managers","Management Occupations","Other Management Occupations","Medical and Health Services Managers",NA,2022-02-02
"Detailed","11-9111","11-0000","11-9000","11-9110","11-9111","Medical and Health Services Managers","Management Occupations","Other Management Occupations","Medical and Health Services Managers","Medical and Health Services Managers",2022-02-02
"Broad","11-9120","11-0000","11-9000","11-9120",NA,"Natural Sciences Managers","Management Occupations","Other Management Occupations","Natural Sciences Managers",NA,2022-02-02
"Detailed","11-9121","11-0000","11-9000","11-9120","11-9121","Natural Sciences Managers","Management Occupations","Other Management Occupations","Natural Sciences Managers","Natural Sciences Managers",2022-02-02
"Broad","11-9130","11-0000","11-9000","11-9130",NA,"Postmasters and Mail Superintendents","Management Occupations","Other Management Occupations","Postmasters and Mail Superintendents",NA,2022-02-02
"Detailed","11-9131","11-0000","11-9000","11-9130","11-9131","Postmasters and Mail Superintendents","Management Occupations","Other Management Occupations","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents",2022-02-02
"Broad","11-9140","11-0000","11-9000","11-9140",NA,"Property, Real Estate, and Community Association Managers","Management Occupations","Other Management Occupations","Property, Real Estate, and Community Association Managers",NA,2022-02-02
"Detailed","11-9141","11-0000","11-9000","11-9140","11-9141","Property, Real Estate, and Community Association Managers","Management Occupations","Other Management Occupations","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",2022-02-02
"Broad","11-9150","11-0000","11-9000","11-9150",NA,"Social and Community Service Managers","Management Occupations","Other Management Occupations","Social and Community Service Managers",NA,2022-02-02
"Detailed","11-9151","11-0000","11-9000","11-9150","11-9151","Social and Community Service Managers","Management Occupations","Other Management Occupations","Social and Community Service Managers","Social and Community Service Managers",2022-02-02
"Broad","11-9160","11-0000","11-9000","11-9160",NA,"Emergency Management Directors","Management Occupations","Other Management Occupations","Emergency Management Directors",NA,2022-02-02
"Detailed","11-9161","11-0000","11-9000","11-9160","11-9161","Emergency Management Directors","Management Occupations","Other Management Occupations","Emergency Management Directors","Emergency Management Directors",2022-02-02
"Broad","11-9170","11-0000","11-9000","11-9170",NA,"Personal Service Managers","Management Occupations","Other Management Occupations","Personal Service Managers",NA,2022-02-02
"Detailed","11-9171","11-0000","11-9000","11-9170","11-9171","Funeral Home Managers","Management Occupations","Other Management Occupations","Personal Service Managers","Funeral Home Managers",2022-02-02
"Detailed","11-9179","11-0000","11-9000","11-9170","11-9179","Personal Service Managers, All Other","Management Occupations","Other Management Occupations","Personal Service Managers","Personal Service Managers, All Other",2022-02-02
"Broad","11-9190","11-0000","11-9000","11-9190",NA,"Miscellaneous Managers","Management Occupations","Other Management Occupations","Miscellaneous Managers",NA,2022-02-02
"Detailed","11-9199","11-0000","11-9000","11-9190","11-9199","Managers, All Other","Management Occupations","Other Management Occupations","Miscellaneous Managers","Managers, All Other",2022-02-02
"Major","13-0000","13-0000",NA,NA,NA,"Business and Financial Operations Occupations","Business and Financial Operations Occupations",NA,NA,NA,2022-02-02
"Minor","13-1000","13-0000","13-1000",NA,NA,"Business Operations Specialists","Business and Financial Operations Occupations","Business Operations Specialists",NA,NA,2022-02-02
"Broad","13-1010","13-0000","13-1000","13-1010",NA,"Agents and Business Managers of Artists, Performers, and Athletes","Business and Financial Operations Occupations","Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes",NA,2022-02-02
"Detailed","13-1011","13-0000","13-1000","13-1010","13-1011","Agents and Business Managers of Artists, Performers, and Athletes","Business and Financial Operations Occupations","Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",2022-02-02
"Broad","13-1020","13-0000","13-1000","13-1020",NA,"Buyers and Purchasing Agents","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents",NA,2022-02-02
"Detailed","13-1021","13-0000","13-1000","13-1020","13-1021","Buyers and Purchasing Agents, Farm Products","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Buyers and Purchasing Agents, Farm Products",2022-02-02
"Detailed","13-1022","13-0000","13-1000","13-1020","13-1022","Wholesale and Retail Buyers, Except Farm Products","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Wholesale and Retail Buyers, Except Farm Products",2022-02-02
"Detailed","13-1023","13-0000","13-1000","13-1020","13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2022-02-02
"Broad","13-1030","13-0000","13-1000","13-1030",NA,"Claims Adjusters, Appraisers, Examiners, and Investigators","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators",NA,2022-02-02
"Detailed","13-1031","13-0000","13-1000","13-1030","13-1031","Claims Adjusters, Examiners, and Investigators","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",2022-02-02
"Detailed","13-1032","13-0000","13-1000","13-1030","13-1032","Insurance Appraisers, Auto Damage","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Insurance Appraisers, Auto Damage",2022-02-02
"Broad","13-1040","13-0000","13-1000","13-1040",NA,"Compliance Officers","Business and Financial Operations Occupations","Business Operations Specialists","Compliance Officers",NA,2022-02-02
"Detailed","13-1041","13-0000","13-1000","13-1040","13-1041","Compliance Officers","Business and Financial Operations Occupations","Business Operations Specialists","Compliance Officers","Compliance Officers",2022-02-02
"Broad","13-1050","13-0000","13-1000","13-1050",NA,"Cost Estimators","Business and Financial Operations Occupations","Business Operations Specialists","Cost Estimators",NA,2022-02-02
"Detailed","13-1051","13-0000","13-1000","13-1050","13-1051","Cost Estimators","Business and Financial Operations Occupations","Business Operations Specialists","Cost Estimators","Cost Estimators",2022-02-02
"Broad","13-1070","13-0000","13-1000","13-1070",NA,"Human Resources Workers","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers",NA,2022-02-02
"Detailed","13-1071","13-0000","13-1000","13-1070","13-1071","Human Resources Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Human Resources Specialists",2022-02-02
"Detailed","13-1074","13-0000","13-1000","13-1070","13-1074","Farm Labor Contractors","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Farm Labor Contractors",2022-02-02
"Detailed","13-1075","13-0000","13-1000","13-1070","13-1075","Labor Relations Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Labor Relations Specialists",2022-02-02
"Broad","13-1080","13-0000","13-1000","13-1080",NA,"Logisticians and Project Management Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians and Project Management Specialists",NA,2022-02-02
"Detailed","13-1081","13-0000","13-1000","13-1080","13-1081","Logisticians","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians and Project Management Specialists","Logisticians",2022-02-02
"Detailed","13-1082","13-0000","13-1000","13-1080","13-1082","Project Management Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians and Project Management Specialists","Project Management Specialists",2022-02-02
"Broad","13-1110","13-0000","13-1000","13-1110",NA,"Management Analysts","Business and Financial Operations Occupations","Business Operations Specialists","Management Analysts",NA,2022-02-02
"Detailed","13-1111","13-0000","13-1000","13-1110","13-1111","Management Analysts","Business and Financial Operations Occupations","Business Operations Specialists","Management Analysts","Management Analysts",2022-02-02
"Broad","13-1120","13-0000","13-1000","13-1120",NA,"Meeting, Convention, and Event Planners","Business and Financial Operations Occupations","Business Operations Specialists","Meeting, Convention, and Event Planners",NA,2022-02-02
"Detailed","13-1121","13-0000","13-1000","13-1120","13-1121","Meeting, Convention, and Event Planners","Business and Financial Operations Occupations","Business Operations Specialists","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners",2022-02-02
"Broad","13-1130","13-0000","13-1000","13-1130",NA,"Fundraisers","Business and Financial Operations Occupations","Business Operations Specialists","Fundraisers",NA,2022-02-02
"Detailed","13-1131","13-0000","13-1000","13-1130","13-1131","Fundraisers","Business and Financial Operations Occupations","Business Operations Specialists","Fundraisers","Fundraisers",2022-02-02
"Broad","13-1140","13-0000","13-1000","13-1140",NA,"Compensation, Benefits, and Job Analysis Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Compensation, Benefits, and Job Analysis Specialists",NA,2022-02-02
"Detailed","13-1141","13-0000","13-1000","13-1140","13-1141","Compensation, Benefits, and Job Analysis Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",2022-02-02
"Broad","13-1150","13-0000","13-1000","13-1150",NA,"Training and Development Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Training and Development Specialists",NA,2022-02-02
"Detailed","13-1151","13-0000","13-1000","13-1150","13-1151","Training and Development Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Training and Development Specialists","Training and Development Specialists",2022-02-02
"Broad","13-1160","13-0000","13-1000","13-1160",NA,"Market Research Analysts and Marketing Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Market Research Analysts and Marketing Specialists",NA,2022-02-02
"Detailed","13-1161","13-0000","13-1000","13-1160","13-1161","Market Research Analysts and Marketing Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists",2022-02-02
"Broad","13-1190","13-0000","13-1000","13-1190",NA,"Miscellaneous Business Operations Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Miscellaneous Business Operations Specialists",NA,2022-02-02
"Detailed","13-1199","13-0000","13-1000","13-1190","13-1199","Business Operations Specialists, All Other","Business and Financial Operations Occupations","Business Operations Specialists","Miscellaneous Business Operations Specialists","Business Operations Specialists, All Other",2022-02-02
"Minor","13-2000","13-0000","13-2000",NA,NA,"Financial Specialists","Business and Financial Operations Occupations","Financial Specialists",NA,NA,2022-02-02
"Broad","13-2010","13-0000","13-2000","13-2010",NA,"Accountants and Auditors","Business and Financial Operations Occupations","Financial Specialists","Accountants and Auditors",NA,2022-02-02
"Detailed","13-2011","13-0000","13-2000","13-2010","13-2011","Accountants and Auditors","Business and Financial Operations Occupations","Financial Specialists","Accountants and Auditors","Accountants and Auditors",2022-02-02
"Broad","13-2020","13-0000","13-2000","13-2020",NA,"Property Appraisers and Assessors","Business and Financial Operations Occupations","Financial Specialists","Property Appraisers and Assessors",NA,2022-02-02
"Detailed","13-2022","13-0000","13-2000","13-2020","13-2022","Appraisers of Personal and Business Property","Business and Financial Operations Occupations","Financial Specialists","Property Appraisers and Assessors","Appraisers of Personal and Business Property",2022-02-02
"Detailed","13-2023","13-0000","13-2000","13-2020","13-2023","Appraisers and Assessors of Real Estate","Business and Financial Operations Occupations","Financial Specialists","Property Appraisers and Assessors","Appraisers and Assessors of Real Estate",2022-02-02
"Broad","13-2030","13-0000","13-2000","13-2030",NA,"Budget Analysts","Business and Financial Operations Occupations","Financial Specialists","Budget Analysts",NA,2022-02-02
"Detailed","13-2031","13-0000","13-2000","13-2030","13-2031","Budget Analysts","Business and Financial Operations Occupations","Financial Specialists","Budget Analysts","Budget Analysts",2022-02-02
"Broad","13-2040","13-0000","13-2000","13-2040",NA,"Credit Analysts","Business and Financial Operations Occupations","Financial Specialists","Credit Analysts",NA,2022-02-02
"Detailed","13-2041","13-0000","13-2000","13-2040","13-2041","Credit Analysts","Business and Financial Operations Occupations","Financial Specialists","Credit Analysts","Credit Analysts",2022-02-02
"Broad","13-2050","13-0000","13-2000","13-2050",NA,"Financial Analysts and Advisors","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors",NA,2022-02-02
"Detailed","13-2051","13-0000","13-2000","13-2050","13-2051","Financial and Investment Analysts","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Financial and Investment Analysts",2022-02-02
"Detailed","13-2052","13-0000","13-2000","13-2050","13-2052","Personal Financial Advisors","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Personal Financial Advisors",2022-02-02
"Detailed","13-2053","13-0000","13-2000","13-2050","13-2053","Insurance Underwriters","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Insurance Underwriters",2022-02-02
"Detailed","13-2054","13-0000","13-2000","13-2050","13-2054","Financial Risk Specialists","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Financial Risk Specialists",2022-02-02
"Broad","13-2060","13-0000","13-2000","13-2060",NA,"Financial Examiners","Business and Financial Operations Occupations","Financial Specialists","Financial Examiners",NA,2022-02-02
"Detailed","13-2061","13-0000","13-2000","13-2060","13-2061","Financial Examiners","Business and Financial Operations Occupations","Financial Specialists","Financial Examiners","Financial Examiners",2022-02-02
"Broad","13-2070","13-0000","13-2000","13-2070",NA,"Credit Counselors and Loan Officers","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers",NA,2022-02-02
"Detailed","13-2071","13-0000","13-2000","13-2070","13-2071","Credit Counselors","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Credit Counselors",2022-02-02
"Detailed","13-2072","13-0000","13-2000","13-2070","13-2072","Loan Officers","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Loan Officers",2022-02-02
"Broad","13-2080","13-0000","13-2000","13-2080",NA,"Tax Examiners, Collectors and Preparers, and Revenue Agents","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents",NA,2022-02-02
"Detailed","13-2081","13-0000","13-2000","13-2080","13-2081","Tax Examiners and Collectors, and Revenue Agents","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents",2022-02-02
"Detailed","13-2082","13-0000","13-2000","13-2080","13-2082","Tax Preparers","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Preparers",2022-02-02
"Broad","13-2090","13-0000","13-2000","13-2090",NA,"Miscellaneous Financial Specialists","Business and Financial Operations Occupations","Financial Specialists","Miscellaneous Financial Specialists",NA,2022-02-02
"Detailed","13-2099","13-0000","13-2000","13-2090","13-2099","Financial Specialists, All Other","Business and Financial Operations Occupations","Financial Specialists","Miscellaneous Financial Specialists","Financial Specialists, All Other",2022-02-02
"Major","15-0000","15-0000",NA,NA,NA,"Computer and Mathematical Occupations","Computer and Mathematical Occupations",NA,NA,NA,2022-02-02
"Minor","15-1200","15-0000","15-1200",NA,NA,"Computer Occupations","Computer and Mathematical Occupations","Computer Occupations",NA,NA,2022-02-02
"Broad","15-1210","15-0000","15-1200","15-1210",NA,"Computer and Information Analysts","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts",NA,2022-02-02
"Detailed","15-1211","15-0000","15-1200","15-1210","15-1211","Computer Systems Analysts","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Computer Systems Analysts",2022-02-02
"Detailed","15-1212","15-0000","15-1200","15-1210","15-1212","Information Security Analysts","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Information Security Analysts",2022-02-02
"Broad","15-1220","15-0000","15-1200","15-1220",NA,"Computer and Information Research Scientists","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Research Scientists",NA,2022-02-02
"Detailed","15-1221","15-0000","15-1200","15-1220","15-1221","Computer and Information Research Scientists","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Research Scientists","Computer and Information Research Scientists",2022-02-02
"Broad","15-1230","15-0000","15-1200","15-1230",NA,"Computer Support Specialists","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists",NA,2022-02-02
"Detailed","15-1231","15-0000","15-1200","15-1230","15-1231","Computer Network Support Specialists","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer Network Support Specialists",2022-02-02
"Detailed","15-1232","15-0000","15-1200","15-1230","15-1232","Computer User Support Specialists","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer User Support Specialists",2022-02-02
"Broad","15-1240","15-0000","15-1200","15-1240",NA,"Database and Network Administrators and Architects","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects",NA,2022-02-02
"Detailed","15-1241","15-0000","15-1200","15-1240","15-1241","Computer Network Architects","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Computer Network Architects",2022-02-02
"Detailed","15-1242","15-0000","15-1200","15-1240","15-1242","Database Administrators","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Database Administrators",2022-02-02
"Detailed","15-1243","15-0000","15-1200","15-1240","15-1243","Database Architects","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Database Architects",2022-02-02
"Detailed","15-1244","15-0000","15-1200","15-1240","15-1244","Network and Computer Systems Administrators","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Network and Computer Systems Administrators",2022-02-02
"Broad","15-1250","15-0000","15-1200","15-1250",NA,"Software and Web Developers, Programmers, and Testers","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers",NA,2022-02-02
"Detailed","15-1251","15-0000","15-1200","15-1250","15-1251","Computer Programmers","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Computer Programmers",2022-02-02
"Detailed","15-1252","15-0000","15-1200","15-1250","15-1252","Software Developers","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Software Developers",2022-02-02
"Detailed","15-1253","15-0000","15-1200","15-1250","15-1253","Software Quality Assurance Analysts and Testers","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Software Quality Assurance Analysts and Testers",2022-02-02
"Detailed","15-1254","15-0000","15-1200","15-1250","15-1254","Web Developers","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Web Developers",2022-02-02
